epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,82.2496,1.04463,1.4743,1.25092,0.70909,0.375,0.46234,0.24204,1.78578,2.64296,2.68897,0.000544776,0.000544776,0.000544776
70,83.3757,0.98078,1.17279,1.33771,0.49259,0.625,0.50034,0.28586,1.66682,2.6095,2.33655,0.000528272,0.000528272,0.000528272
71,84.5266,0.90082,1.04429,1.14223,0.48072,0.46392,0.46191,0.28959,1.62338,2.56715,2.34454,0.000511769,0.000511769,0.000511769
72,85.6595,0.90998,1.31448,1.24294,0.58933,0.375,0.43744,0.26612,1.62509,2.59416,2.41825,0.000495266,0.000495266,0.000495266
73,86.8095,1.12363,1.36342,1.27943,0.6114,0.375,0.47473,0.27724,1.61783,2.35814,2.56454,0.000478762,0.000478762,0.000478762
74,87.9621,0.91581,1.07385,1.23167,0.70848,0.59642,0.70148,0.35092,1.57113,2.27283,2.49261,0.000462259,0.000462259,0.000462259
75,89.0617,0.79844,0.99622,1.11121,0.58608,0.85837,0.63152,0.33283,1.80254,2.2124,2.71151,0.000445756,0.000445756,0.000445756
76,90.1725,0.821,0.9879,1.1678,0.57685,0.75,0.72864,0.36536,1.87694,2.10939,2.80809,0.000429253,0.000429253,0.000429253
77,91.3363,1.04352,1.26537,1.29676,0.91444,0.625,0.7944,0.38573,1.91399,2.03959,2.90873,0.000412749,0.000412749,0.000412749
78,92.5119,0.88125,1.06417,1.21662,0.92713,0.625,0.80882,0.38902,1.74375,1.95785,2.70194,0.000396246,0.000396246,0.000396246
79,93.6589,0.89677,0.93533,1.12118,0.9702,0.67221,0.83131,0.43593,1.61713,1.86899,2.65209,0.000379743,0.000379743,0.000379743
80,94.8047,0.91122,0.92015,1.12858,0.82506,0.85031,0.89083,0.45275,1.50369,1.8022,2.59907,0.000363239,0.000363239,0.000363239
81,95.9305,0.94835,1.07186,1.26795,0.77413,0.99229,0.84143,0.45446,1.61115,1.80271,2.71065,0.000346736,0.000346736,0.000346736
82,97.0817,1.02252,0.98547,1.22648,0.70993,0.86991,0.78856,0.4436,1.73551,1.84237,2.82324,0.000330233,0.000330233,0.000330233
83,98.2231,0.86783,0.99126,1.18819,0.72037,0.96941,0.83429,0.43785,1.74239,1.80348,2.82931,0.000313729,0.000313729,0.000313729
84,99.2891,0.91182,1.08669,1.15623,0.77586,0.875,0.83528,0.41178,1.74601,1.78631,2.85065,0.000297226,0.000297226,0.000297226
85,100.411,0.75313,1.4552,1.14332,0.82013,0.86764,0.83691,0.41503,1.77073,1.79005,2.91799,0.000280723,0.000280723,0.000280723
86,101.547,0.76778,1.39648,1.19797,0.98842,0.75,0.83471,0.39074,1.94895,1.843,3.1433,0.00026422,0.00026422,0.00026422
87,102.675,0.76108,1.06477,1.11262,0.98546,0.75,0.79803,0.39556,2.00189,1.91435,3.25205,0.000247716,0.000247716,0.000247716
88,103.826,0.71028,0.89516,1.09236,0.97761,0.75,0.76087,0.39706,1.94853,1.82154,3.29982,0.000231213,0.000231213,0.000231213
89,104.949,0.97119,1.08496,1.28739,0.97797,0.75,0.75331,0.41642,1.77793,1.67695,3.0814,0.00021471,0.00021471,0.00021471
90,106.084,0.74763,0.98367,1.14094,0.97555,0.75,0.75503,0.4452,1.67042,1.64808,2.92664,0.000198206,0.000198206,0.000198206
91,127.115,0.70735,1.18862,1.1846,0.9553,0.75,0.78176,0.4593,1.64291,1.69732,2.84042,0.000181703,0.000181703,0.000181703
92,128.131,0.63599,1.07321,1.04865,0.90017,0.75,0.75529,0.45304,1.60993,1.77786,2.81171,0.0001652,0.0001652,0.0001652
93,129.097,0.61877,0.96179,1.04182,0.80985,0.75,0.75251,0.46907,1.67465,1.84361,2.88184,0.000148696,0.000148696,0.000148696
94,130.074,0.80081,1.21581,1.3359,0.78398,0.75,0.74722,0.4683,1.75562,1.86796,3.00744,0.000132193,0.000132193,0.000132193
95,131.066,0.64245,1.20225,1.21319,0.76855,0.75,0.74702,0.46051,1.83804,1.88394,3.1117,0.00011569,0.00011569,0.00011569
96,132.043,0.67144,1.02916,1.16841,0.77699,0.75,0.74693,0.46064,1.86041,1.94779,3.11311,9.91865e-05,9.91865e-05,9.91865e-05
97,133.009,0.56887,1.0221,1.12893,0.77081,0.75,0.74679,0.44796,1.88071,2.03464,3.12993,8.26832e-05,8.26832e-05,8.26832e-05
98,133.988,0.72835,1.13325,1.13131,0.76995,0.75,0.74682,0.43121,1.91376,2.06834,3.15813,6.61799e-05,6.61799e-05,6.61799e-05
99,134.965,0.62682,1.25592,1.09065,0.76953,0.75,0.7055,0.4106,1.91997,2.11511,3.11236,4.96766e-05,4.96766e-05,4.96766e-05
100,135.944,0.45143,0.88181,0.97728,0.7715,0.75,0.75726,0.42402,1.91102,2.09817,3.07676,3.31733e-05,3.31733e-05,3.31733e-05
